,pca_f1,pca_auc,pca_acc
baseline,0.9857407556593893,0.9689909671733863,0.9456454601605929
missing_5pct,0.9857384578196761,0.968788554747742,0.9456454601605929
missing_10pct,0.9858224585145803,0.9712468789013732,0.945799876466955
missing_20pct,0.9857154386248084,0.9711146911948298,0.9459542927733169
noise_20dB,0.9717370593839314,0.7943494345303664,0.9450277949351451
noise_10dB,0.9717370593839314,0.7549533671146362,0.9450277949351451
noise_5dB,0.9717370593839314,0.7358761107439231,0.9450277949351451
spikes_0.5pct,0.9717370593839314,0.6977046155540867,0.9450277949351451
drift,0.9717370593839314,0.4336899647499449,0.9450277949351451
