Condition,F1 (mean±std),AUC (mean±std),F1_CI95,AUC_CI95,F1_mean,F1_std,AUC_mean,AUC_std,n_seeds
baseline,0.7519 ± 0.0000,0.7244 ± 0.0000,"[0.7519, 0.7519]","[0.7244, 0.7244]",0.7518796992481201,1.1390647892519134e-16,0.7243682499737861,1.1390647892519134e-16,20
missing_5pct,0.7528 ± 0.0014,0.6830 ± 0.0102,"[0.7523, 0.7535]","[0.6787, 0.6873]",0.752846499406963,0.0013798250507459449,0.6829734717416378,0.010187462004460867,20
missing_10pct,0.7549 ± 0.0035,0.6587 ± 0.0088,"[0.7535, 0.7565]","[0.6552, 0.6626]",0.754894987867501,0.0035237067636334015,0.6587444689105588,0.00880116207169573,20
missing_20pct,0.7552 ± 0.0030,0.6212 ± 0.0110,"[0.7540, 0.7566]","[0.6164, 0.6258]",0.7551739108923338,0.0030457922674976103,0.621174688057041,0.01095181545124565,20
noise_20dB,0.7522 ± 0.0005,0.4957 ± 0.0127,"[0.7520, 0.7524]","[0.4904, 0.5014]",0.7521526279480367,0.0004969875489269378,0.49574310579846914,0.012736564736516715,20
noise_10dB,0.7521 ± 0.0005,0.4970 ± 0.0128,"[0.7520, 0.7524]","[0.4917, 0.5028]",0.7521480142069938,0.0004991626999458394,0.49702369717940653,0.012844831646690974,20
noise_5dB,0.7521 ± 0.0005,0.4972 ± 0.0128,"[0.7520, 0.7524]","[0.4919, 0.5030]",0.7521480142069938,0.0004991626999458394,0.49724462619272314,0.012846953451186813,20
spikes_0.5pct,0.7522 ± 0.0004,0.4987 ± 0.0117,"[0.7520, 0.7523]","[0.4937, 0.5037]",0.7521582884296768,0.00041450765836735596,0.4986726433889063,0.011731432831687677,20
drift,0.7519 ± 0.0000,0.3657 ± 0.0238,"[0.7519, 0.7519]","[0.3555, 0.3757]",0.7518796992481201,1.1390647892519134e-16,0.3657436300723497,0.02383387718431909,20
